years,Albania_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,EU_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Albania_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Austria_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Austria_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Austria_national_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Belgium_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Belgium_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Bulgaria_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Bulgaria_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Cyprus_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Cyprus_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Czechia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Czechia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Germany_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Germany_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Germany_national_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Denmark_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Denmark_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Estonia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Estonia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Greece_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Greece_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Spain_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Spain_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Finland_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Finland_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,France_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,France_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Croatia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Croatia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Hungary_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Hungary_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Ireland_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Ireland_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Iceland_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Iceland_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Italy_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Italy_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Liechtenstein_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Liechtenstein_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Lithuania_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Lithuania_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Luxembourg_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Luxembourg_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Latvia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Latvia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Montenegro_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Montenegro_National_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,North Macedonia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,North Macedonia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Malta_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Malta_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Netherlands_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Netherlands_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Norway_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Norway_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Poland_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Poland_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Portugal_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Portugal_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Romania_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Romania_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Serbia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Serbia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Sweden_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Sweden_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Slovenia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Slovenia_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Slovakia_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Slovakia_National_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Turkiye_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Turkiye_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Kosovo_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Kosovo_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Bosnia and Herzegovina_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Bosnia and Herzegovina_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Switzerland_trend_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent,Switzerland_EU_target_Share_of_total_utilised_agricultural_area_converted_or_under_conversion_to_organic_farming_Percent
2012,0.05,5.88,,18.62,,,4.48,,0.76,,3.38,,13.29,,5.76,,,7.31,,14.86,,9.01,,7.49,,8.65,,3.55,,2.4,,2.45,,1.16,,0.49,,9.3,,29.6,,5.51,,3.14,,10.63,,,,1.19,,0.32,,2.61,,5.57,,4.51,,5.48,,2.1,,0.13,,15.76,,7.32,,8.53,,2.16,,0.03,,0.02,,11.57,
2013,0.04,5.91,,18.4,,,4.67,,1.13,,4.03,,13.47,,6.04,,,6.44,,15.65,,7.36,,6.85,,9.07,,3.66,,3.13,,2.45,,1.2,,0.95,,10.6,,30.99,,5.74,,3.39,,9.89,,,,0.82,,0.06,,2.65,,5.23,,4.65,,5.31,,2.06,,0.23,,16.5,,8.07,,8.18,,1.9,,0.03,,0.01,,12.19,
2014,0.06,6.08,,19.35,,,5.0,,0.96,,3.63,,13.44,,6.18,,,6.25,,15.96,,6.71,,7.26,,9.29,,3.87,,4.03,,2.34,,1.16,,1.41,,10.91,,31.65,,5.57,,3.43,,10.86,,,,0.79,,0.29,,2.67,,5.05,,4.56,,5.74,,2.09,,0.27,,16.53,,8.55,,9.37,,1.34,,0.03,,0.02,,12.73,
2015,0.06,6.56,,20.3,,,5.17,,2.37,,3.72,,13.68,,6.34,,,6.33,,15.68,,7.69,,8.24,,9.91,,4.54,,4.94,,2.43,,1.65,,0.925,,11.79,,30.88,,7.11,,3.21,,12.29,,,,0.17,,0.25,,2.67,,4.83,,4.03,,6.53,,1.77,,0.44,,17.14,,8.85,,9.47,,1.34,,0.04,,0.03,,12.91,
2016,0.06,7.09,,21.25,,,5.8,,3.2,,4.94,,14.0,,6.82,,,7.81,,18.02,,6.51,,8.48,,10.47,,5.28,,6.05,,3.48,,1.72,,0.44,,13.99,,38.57,,7.5,,3.47,,13.42,,1.36,,0.26,,0.21,,3.03,,4.84,,3.72,,6.74,,1.67,,0.41,,18.3,,9.12,,9.75,,1.39,,0.04,,0.06,,13.4,
2017,0.05,7.47,,23.37,,,6.28,,2.72,,4.61,,14.09,,6.82,,,8.6,,20.01,,7.96,,8.73,,11.41,,5.99,,6.46,,3.73,,1.66,,0.405,,14.67,,38.74,,7.98,,4.15,,13.92,,1.06,,0.25,,0.35,,3.31,,4.78,,3.41,,6.84,,1.93,,0.39,,19.16,,9.6,,9.9,,1.49,,0.04,,0.07,,14.37,
2018,0.06,7.99,,24.08,,,6.56,,2.56,,4.55,,14.76,,7.34,,,9.75,,20.98,,9.32,,9.28,,13.09,,7.01,,6.94,,3.92,,1.65,,0.37,,15.17,,39.41,,8.13,,4.39,,14.47,,1.73,,0.35,,0.41,,3.5,,4.7,,3.33,,5.68,,2.43,,0.55,,20.29,,10.01,,9.85,,1.69,,0.04,,0.05,,15.4,
2019,0.06,8.47,,25.33,,,6.85,,2.34,,4.98,,15.19,,7.75,,,11.09,,22.33,,10.26,,9.66,,13.48,,7.72,,7.19,,5.71,,1.63,,0.37,,15.16,,41.0,,8.14,,4.42,,14.79,,1.85,,0.29,,0.47,,3.75,,4.6,,3.49,,7.39,,2.86,,0.61,,20.43,,10.35,,10.31,,1.46,,0.25,,0.09,,16.27,
2020,0.08,9.1,,25.69,,,7.25,,2.3,,4.63,,15.33,,9.59,,,11.45,,22.41,,10.15,,9.98,,13.93,,8.77,,7.21,,6.03,,1.66,,0.32,,15.96,,41.57,,8.0,,4.63,,14.79,,1.87,,0.29,,0.62,,3.95,,4.58,,3.45,,8.05,,3.59,,0.55,,20.31,,10.29,,11.67,,1.01,,0.38,,0.09,,16.98,
2021,0.09,9.1,,25.69,,,7.48,,1.71,,6.43,,15.55,,9.65,,,11.58,,22.97,,13.685,,10.79,,14.45,,9.67,,8.26,,5.81,,2.0,,,,16.83,,40.2,,8.91,,5.19,,15.34,,1.72,,0.61,,0.61,,4.22,,4.56,,3.78,,19.31,,4.42,,0.68,,20.2,,10.81,,13.45,,0.93,,0.47,,0.14,,17.4,
2022,0.06,9.1,,25.69,,,7.6,,2.2,,6.3,,15.97,,9.83,,,11.43,,23.42,,17.22,,10.83,,14.98,,9.87,,8.94,,6.31,,2.2,,,,18.14,,43.0,,9.32,,6.23,,15.88,,1.56,,0.69,,0.62,,4.44,,,,3.91,,19.31,,5.08,,0.72,,19.94,,11.1,,13.69,,0.81,,0.73,,0.14,,17.87,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,25.0,,25.0,35.0,,25.0,,25.0,,25.0,,25.0,,25.0,30.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,25.0,,13.5,,25.0,,25.0,,25.0,,25.0
