years,Austria_trend_Eco-innovation_index_Index,EU_trend_Eco-innovation_index_Index,Belgium_trend_Eco-innovation_index_Index,Bulgaria_trend_Eco-innovation_index_Index,Cyprus_trend_Eco-innovation_index_Index,Czechia_trend_Eco-innovation_index_Index,Germany_trend_Eco-innovation_index_Index,Denmark_trend_Eco-innovation_index_Index,Estonia_trend_Eco-innovation_index_Index,Greece_trend_Eco-innovation_index_Index,Spain_trend_Eco-innovation_index_Index,Finland_trend_Eco-innovation_index_Index,France_trend_Eco-innovation_index_Index,Croatia_trend_Eco-innovation_index_Index,Hungary_trend_Eco-innovation_index_Index,Ireland_trend_Eco-innovation_index_Index,Italy_trend_Eco-innovation_index_Index,Lithuania_trend_Eco-innovation_index_Index,Luxembourg_trend_Eco-innovation_index_Index,Latvia_trend_Eco-innovation_index_Index,Malta_trend_Eco-innovation_index_Index,Netherlands_trend_Eco-innovation_index_Index,Poland_trend_Eco-innovation_index_Index,Portugal_trend_Eco-innovation_index_Index,Romania_trend_Eco-innovation_index_Index,Sweden_trend_Eco-innovation_index_Index,Slovenia_trend_Eco-innovation_index_Index,Slovakia_trend_Eco-innovation_index_Index
2014,141.0,100.0,81.2,29.8,64.0,89.1,108.3,154.0,90.0,56.4,101.5,161.9,106.0,64.9,59.4,71.1,110.9,61.4,154.9,76.4,53.2,94.6,50.2,79.0,84.7,145.2,85.4,63.9
2015,142.9,101.9,82.2,30.4,66.2,96.3,109.5,148.5,92.6,60.6,100.4,164.4,107.4,66.9,46.7,77.9,115.8,70.1,149.4,83.1,53.4,95.2,53.6,83.7,88.5,147.0,93.4,64.0
2016,147.5,104.2,85.1,33.2,64.5,97.9,112.6,151.6,96.7,62.2,100.0,170.0,116.8,69.5,48.9,86.5,119.5,74.8,150.3,86.5,60.0,98.5,55.8,85.2,88.3,151.0,96.5,68.5
2017,148.0,104.0,88.7,28.1,77.0,95.9,114.8,146.5,89.4,65.9,100.0,166.5,117.6,70.0,52.3,91.6,120.2,73.4,148.2,84.5,66.2,103.5,57.7,86.1,78.4,155.1,95.0,70.1
2018,146.3,107.4,91.2,36.0,69.0,97.4,117.7,151.5,87.1,78.0,103.2,157.2,122.6,75.6,53.3,92.1,128.5,76.1,152.2,86.5,92.1,105.7,57.2,90.7,70.1,155.0,92.9,72.0
2019,149.6,108.0,92.6,36.5,80.9,101.0,122.9,157.8,100.4,73.7,102.3,160.8,123.1,77.1,49.5,96.0,120.1,81.1,157.3,86.8,77.1,115.8,57.3,92.8,69.3,164.2,101.3,65.5
2020,151.3,109.6,94.5,40.1,82.6,102.7,124.5,159.6,100.9,80.6,104.0,166.1,124.2,79.0,54.5,96.3,122.9,92.8,160.2,87.7,74.3,112.6,55.0,96.7,66.7,160.9,108.9,70.9
2021,164.8,115.0,98.9,43.1,83.3,107.5,128.6,165.5,105.1,85.6,107.9,168.2,132.1,81.6,61.3,102.4,130.6,92.5,152.8,93.1,75.4,112.4,60.6,98.0,71.7,158.3,112.6,77.2
2022,166.1,118.9,102.7,48.9,96.2,108.1,133.8,172.3,108.2,91.1,109.5,178.6,136.0,87.7,66.9,113.6,131.1,100.8,167.5,104.5,84.3,116.7,63.4,103.2,71.7,162.3,116.5,80.3
2023,172.3,123.7,106.8,53.9,99.5,118.0,138.4,171.7,122.8,94.1,120.5,179.4,136.8,95.4,67.5,118.7,133.1,104.6,173.9,102.0,92.0,121.7,67.5,109.8,76.0,167.4,115.1,91.0
2024,177.1,127.5,109.2,58.8,97.6,125.6,140.7,177.5,116.5,91.0,127.2,180.8,144.0,96.6,64.4,121.2,150.1,114.7,175.1,114.7,99.2,133.1,69.7,113.2,80.2,165.2,121.5,98.9
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
