years,Austria_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,EU_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Belgium_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Bulgaria_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Cyprus_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Czechia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Germany_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Denmark_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Estonia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Greece_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Spain_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Finland_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,France_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Croatia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Hungary_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Ireland_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Iceland_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Italy_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Lithuania_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Luxembourg_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Latvia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,North Macedonia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Malta_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Netherlands_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Norway_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Poland_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Portugal_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Romania_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Serbia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Sweden_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Slovenia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Slovakia_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Turkiye_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Bosnia and Herzegovina_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent,Switzerland_trend_Environmental_protection_expenditure_as_share_of_GDP_Percent
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,
2014,,2.0,3.2,3.3,,,,,2.6,,1.5,,2.0,1.8,,1.4,1.2,,,0.8,,1.3,2.2,,,1.8,1.5,1.7,0.73,1.2,2.3,,1.180698037,,1.5
2015,,2.0,3.1,3.0,,,,,2.8,,1.5,,1.9,1.7,,1.0,1.1,,,0.8,,1.06,2.5,,,1.9,1.5,2.3,0.81,1.1,2.1,,1.0762464826,,1.5
2016,,2.0,3.1,2.2,,,,,2.2,,1.5,,1.9,1.8,,1.0,1.2,2.3,,0.8,,1.64,2.0,,,2.0,1.4,1.8,0.78,,2.0,,1.0433002725,,1.5
2017,,2.0,3.3,2.0,,,,,2.3,,1.6,1.8,1.9,1.8,,0.9,1.2,2.3,,0.9,,1.62,1.7,,,1.9,1.5,2.1,0.72,,2.0,,1.0912228522,,1.5
2018,3.1,2.1,3.3,1.8,1.3,2.9,2.2,2.0,2.4,1.4,1.6,1.8,1.9,1.7,1.5,0.9,1.3,2.3,1.7,0.9,1.1,1.7,1.7,1.8,1.2,1.9,1.5,2.5,0.75,2.2,2.1,2.1,1.0112364995,,1.5
2019,3.1,2.1,3.3,2.0,1.6,2.8,2.2,2.0,2.2,1.4,1.5,1.6,2.0,1.7,1.6,0.9,1.4,2.4,1.4,1.0,1.3,1.1,2.0,1.8,1.2,1.9,1.4,2.5,0.75,2.2,2.2,2.2,0.8868811545,0.4,1.5
2020,3.0,2.2,3.3,2.0,1.0,3.1,2.3,2.1,2.3,1.5,1.7,1.7,2.0,2.1,1.6,0.7,1.7,2.6,1.5,1.0,1.2,1.0,2.2,1.8,1.3,2.0,1.7,2.5,0.81,2.4,2.7,2.0,0.8288088122,0.5,1.7
2021,3.4,2.1,3.3,2.0,1.0,2.9,2.2,2.0,2.0,1.4,1.7,1.9,2.0,2.0,1.4,0.7,1.5,2.6,1.9,0.9,1.2,1.0,1.8,1.8,1.2,1.7,1.8,2.7,1.04,2.5,2.4,1.9,0.9145626894,0.52,1.6
2022,3.2,2.1,3.4,1.8,1.3,2.7,2.1,1.9,2.0,1.4,1.8,1.8,2.0,1.8,1.3,0.6,1.4,2.6,1.7,1.0,1.2,0.1,1.8,1.8,1.0,1.7,1.7,2.7,0.92,2.6,2.5,2.0,0.9540559771,0.61,1.5
2023,,2.1,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,0.89,,,,0.8459531143,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
